41158896424,HTC Sense,1000000,64,yes,yes,user_photos share_item status_update user_location email user_website read_friendlists export_stream friends_work_history friends_subscriptions friends_birthday friends_online_presence friends_education_history public_profile sms friends_interests installed publish_checkins manage_friendlists whitelisted_offline_access video_upload user_work_history create_event create_note friends_hometown user_relationship_details xmpp_login user_online_presence friends_likes basic_info user_questions user_events user_hometown manage_pages user_subscriptions friends_notes friends_location user_photo_video_tags friends_religion_politics read_requests user_status friends_games_activity read_insights user_birthday user_groups user_notes user_friends user_relationships friends_status publish_stream user_checkins friends_activities friends_relationships friends_questions user_likes friends_relationship_details ads_management user_activities rsvp_event friends_checkins read_stream friends_photo_video_tags read_page_mailboxes photo_upload read_mailbox friends_website user_religion_politics publish_actions user_about_me friends_videos user_interests user_games_activity friends_photos friends_events friends_about_me user_videos user_education_history manage_notifications friends_groups 
96937694899,Dailymotion,100000,291,yes,yes,email ads_management manage_pages public_profile installed 
55182998957,Pool Live Tour,500000,162,yes,yes,email ads_management public_profile installed 
169545139744270,Slotomania,1000000,70,yes,yes,email ads_management publish_actions public_profile installed 
407682420960,GoFundMe,100000,204,yes,yes,user_photos email ads_management manage_pages publish_pages publish_actions public_profile installed 
126694440681943,Truecaller,500000,126,yes,yes,user_location email ads_management publish_actions public_profile installed 
153996561399852,Flipagram,100000,311,yes,yes,user_photos email ads_management publish_actions public_profile installed 
75127329583,Drink it up!,500000,130,yes,yes,email ads_management publish_actions public_profile installed 
326803741017,Rotten Tomatoes,100000,317,yes,yes,email ads_management publish_actions public_profile installed 
127607644011854,Lovoo,1000000,84,yes,yes,user_birthday user_relationships user_location user_likes user_interests user_photos email ads_management public_profile installed 
2369844204,Academia.edu,100000,313,yes,yes,user_education_history user_work_history email ads_management public_profile installed 
132970837947,MSN,1000000,96,yes,yes,email ads_management public_profile installed 
121897277851831,iHeartRadio,500000,100,yes,yes,user_birthday user_hometown user_location user_likes email ads_management publish_actions public_profile installed 
532818623411439,Pearl's Peril,1000000,90,yes,yes,email ads_management publish_actions public_profile installed 
134079133419718,Despicable Me: Minion Rush,100000,196,yes,yes,email ads_management publish_actions public_profile installed 
40343401983,Bejeweled Blitz,1000000,83,yes,yes,email ads_management public_profile installed 
45075597673,BuzzFeed,500000,146,yes,yes,user_photos email ads_management publish_actions public_profile installed 
175694939152556,Twoo,500000,168,yes,yes,user_birthday user_relationships user_relationship_details user_location user_activities user_photos user_about_me email ads_management public_profile installed 
162918433202,Runtastic.com,100000,293,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
137234499712326,Tango,100000,198,yes,yes,user_birthday user_activities user_website user_photos user_about_me email ads_management publish_actions public_profile installed 
124578887583575,MediaFire,100000,312,yes,yes,email ads_management public_profile installed 
108569252539536,PicsArt Photo Studio,500000,141,yes,yes,user_photos email ads_management manage_pages publish_pages publish_actions public_profile installed 
244518238972002,The Sims FreePlay,500000,118,yes,yes,email ads_management publish_actions public_profile installed 
105130332854716,Flipboard,500000,127,yes,yes,user_likes user_groups user_photos email ads_management manage_pages publish_pages publish_actions read_friendlists public_profile installed 
127995567256931,Diamond Dash,500000,154,yes,yes,email ads_management publish_actions public_profile installed 
178222352279634,Angry Birds Friends,500000,167,yes,yes,email ads_management publish_actions public_profile installed 
116656161708917,ESPN,100000,343,yes,yes,user_birthday user_likes email ads_management public_profile installed 
131314396964274,musiXmatch,500000,102,yes,yes,email ads_management public_profile installed 
6953377468,Zoosk,100000,254,yes,yes,user_birthday user_relationship_details user_location user_likes user_photos email ads_management public_profile installed 
40582213222,Hulu,100000,266,yes,yes,user_birthday user_likes email ads_management public_profile installed 
2490221586,SlideShare,50000,610,yes,yes,email ads_management public_profile installed 
134672596609680,House of Fun - Slots,500000,143,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
299953330100883,Anghami,500000,144,yes,yes,user_birthday user_hometown user_location user_likes user_activities user_about_me email ads_management public_profile installed 
511237895595013,Hit It Rich! Casino Slots,500000,135,yes,yes,email ads_management publish_actions public_profile installed 
46744042133,The Huffington Post,100000,302,yes,yes,email ads_management public_profile installed 
158391354186658,piZap.com,100000,497,yes,yes,user_photos email ads_management publish_actions public_profile installed 
348256765200149,Buggle,100000,181,yes,yes,email ads_management publish_actions public_profile installed 
275591942465870,Caesars Casino,500000,156,yes,yes,email ads_management publish_actions public_profile installed 
102452128776,FarmVille,100000,214,yes,yes,rsvp_event email ads_management publish_actions public_profile installed 
249643311490,WordPress,100000,316,yes,yes,user_website email ads_management manage_pages publish_pages publish_actions public_profile installed 
205934316099103,Cafeland,100000,261,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
186796388009496,MyFitnessPal,100000,505,yes,yes,user_birthday email ads_management publish_actions public_profile installed 
298315034451,Prezi,100000,491,yes,yes,email ads_management publish_actions public_profile installed 
